Date,Open,High,Low,Close,Volume,Adj Close
2009-07-01,37.279999,37.860001,37.07,37.330002,6307600,8.106025
2009-06-30,37.470001,37.50,36.639999,36.779999,6054800,7.986595
2009-06-29,37.669998,37.68,37.07,37.240002,8137200,8.086482
2009-06-26,37.57,38.150002,37.41,37.66,10098000,8.177683
2009-06-25,35.91,36.779999,35.709999,36.68,5152800,7.964881
2009-06-24,35.689999,36.50,35.630001,36.139999,9430000,7.847622
2009-06-23,35.470001,35.75,35.200001,35.470001,8764000,7.702135
2009-06-22,35.849998,36.07,35.07,35.07,8801600,7.615277
2009-06-19,36.549999,36.900002,36.049999,36.150002,11221200,7.849794
2009-06-18,35.610001,35.68,35.049999,35.259998,10766800,7.656534
2009-06-17,35.080002,35.59,34.610001,35.209999,11264800,7.645677
2009-06-16,36.009998,36.099998,34.75,34.84,11744800,7.565334
2009-06-15,36.599998,36.599998,35.189999,35.52,9982400,7.712992
2009-06-12,36.549999,37.130001,36.299999,37.119999,7258800,8.060424
2009-06-11,36.82,37.549999,36.700001,37.130001,10992400,8.062596
2009-06-10,37.889999,37.889999,36.75,37.279999,9287600,8.095167
2009-06-09,37.23,37.849998,37.220001,37.529999,10997200,8.149454
2009-06-08,35.580002,36.599998,35.580002,36.220001,8100800,7.864994
2009-06-05,36.310001,36.599998,35.689999,36.040001,6683200,7.825908
2009-06-04,35.209999,35.82,34.830002,35.610001,6208000,7.732536
2009-06-03,35.009998,35.450001,34.650002,35.279999,10704800,7.660877
2009-06-02,35.799999,36.529999,35.349998,36.389999,9516800,7.843496
2009-06-01,35.419998,36.16,35.209999,35.700001,14610000,7.694774
2009-05-29,33.560001,34.580002,33.18,34.560001,13392400,7.449059
2009-05-28,32.849998,33.48,32.380001,33.380001,10228800,7.194722
2009-05-27,32.169998,33.50,32.169998,32.610001,8472400,7.028756
2009-05-26,31.59,32.77,31.16,32.41,8904000,6.985648
2009-05-22,31.76,32.07,31.52,31.60,5656000,6.811061
2009-05-21,31.940001,32.200001,31.23,31.530001,11465200,6.795973
2009-05-20,32.900002,33.549999,32.009998,32.209999,13771200,6.94254
2009-05-19,33.150002,33.93,32.68,33.02,16783200,7.117127
2009-05-18,36.00,36.650002,34.50,34.900002,32946400,7.522342
2009-05-15,31.959999,32.459999,31.60,32.02,8956000,6.901587
2009-05-14,31.129999,31.60,30.90,31.48,7511600,6.785196
2009-05-13,31.200001,31.549999,30.309999,30.360001,8836400,6.543791
